NYSE,BGC,03.01.00,7.63,7.63,7.19,7.25,147400,6.82
NYSE,BGG,03.01.00,53.16,53.41,50.56,51.18,224600,18.66
NYSE,BGP,03.01.00,16.37,16.44,15.75,15.75,580600,14.54
NYSE,BHE,03.01.00,22.75,22.81,21.5,22,145800,9.78
NYSE,BHI,03.01.00,21.83,21.83,19.72,20.15,1468700,17.85
NYSE,BHP,03.01.00,26.56,26.56,25.87,25.87,57600,7.99
NYSE,BHY,03.01.00,11.49,11.55,11.37,11.49,47900,4.11
NYSE,BID,03.01.00,30,30.19,28.75,29.06,131600,26.68
NYSE,BIF,03.01.00,7.76,7.82,7.76,7.82,2700,4.06
NYSE,BIG,03.01.00,16.25,16.37,15.38,15.38,376700,15.38
NYSE,BIO,03.01.00,23.38,23.38,22.62,22.62,6000,11.31
NYSE,BJ,03.01.00,36.5,36.56,34.69,35.12,468900,35.12
NYSE,BJS,03.01.00,42,42,38.94,39.25,1765600,9.36
NYSE,BK,03.01.00,38.09,38.21,36.22,36.84,2569100,30.92
NYSE,BKE,03.01.00,14.87,15.31,14.87,15.31,150000,5.3
NYSE,BKH,03.01.00,22.19,22.19,21.45,21.64,38700,14.35
NYSE,BKI,03.01.00,14.81,14.87,14.31,14.5,69800,14.5
NYSE,BKN,03.01.00,12.59,12.72,12.59,12.66,21700,6.74
NYSE,BKS,03.01.00,20.62,20.62,19.5,19.94,693600,12.85
NYSE,BKT,03.01.00,5.66,5.72,5.66,5.66,169300,2.68
NYSE,BLK,03.01.00,17.44,17.5,16.63,16.63,64600,14.99
NYSE,BLL,03.01.00,39.25,40.06,38.94,39.81,828800,8.98
NYSE,BLT,03.01.00,15.88,15.88,15.5,15.56,7900,15.56
NYSE,BLU,03.01.00,8.69,9.06,8.62,8.87,135000,3.54
NYSE,BLX,03.01.00,22.42,22.78,22.07,22.13,23900,12.21
NYSE,BMC,03.01.00,80.81,86.62,78.75,85.19,3342200,85.19
NYSE,BMI,03.01.00,30.12,30.12,30,30,20000,6.02
NYSE,BMO,03.01.00,33.38,33.5,33.01,33.01,7600,10.25
NYSE,BMS,03.01.00,34.37,34.55,33.81,34.55,306000,13.19
NYSE,BMT,03.01.00,9.29,9.29,9.1,9.1,41700,5.52
NYSE,BMY,03.01.00,64.25,64.87,63.63,64.44,3396500,40.42
NYSE,BNA,03.01.00,8.93,9.05,8.93,8.93,84100,3.93
NYSE,BNE,03.01.00,13.43,13.68,13.43,13.56,92600,11.27
NYSE,BNI,03.01.00,24,24,23.06,23.56,1425800,19.92
NYSE,BOH,03.01.00,18.48,18.48,17.5,17.62,328900,12.71
NYSE,BP,03.01.00,59.25,59.31,58.5,58.81,2039300,39.94
NYSE,BPL,03.01.00,25.55,25.62,24.94,25.13,25400,12.42
NYSE,BPT,03.01.00,8.7,8.87,8.52,8.87,49900,2.15
NYSE,BRC,03.01.00,33.88,33.88,32.57,32.82,26200,13.29
NYSE,BRE,03.01.00,22.83,22.83,21.91,22.22,84300,13.03
NYSE,BRO,03.01.00,38.25,38.25,37.88,37.88,64000,4.29
NYSE,BRS,03.01.00,9.56,9.56,9,9.38,148000,9.38
NYSE,BRT,03.01.00,7.94,8,7.88,7.94,36200,3.71
NYSE,BRY,03.01.00,15.25,15.25,14.94,15,21000,6.24
NYSE,BSD,03.01.00,12.4,12.4,12.34,12.34,5300,6.42
NYSE,BSI,03.01.00,12.63,12.63,12.5,12.56,33100,6.08
NYSE,BSP,03.01.00,11.38,11.38,11.19,11.25,36700,4.78
NYSE,BSX,03.01.00,22.12,23.19,22,23,4971400,11.5
NYSE,BSY,03.01.00,93.31,93.31,92.31,93.31,600,80.78
NYSE,BT,03.01.00,243,243,238.5,241.06,20600,157.6
NYSE,BTF,03.01.00,9.75,9.81,9.75,9.81,4200,7.45
NYSE,BTH,03.01.00,24.44,24.62,24,24.31,25200,81.9
NYSE,BTO,03.01.00,8.25,8.25,7.75,8,224000,10.55
NYSE,BVF,03.01.00,92.5,93.25,90,90.56,418800,16.44
NYSE,BVN,03.01.00,16.25,16.38,16.25,16.25,69600,3.55
NYSE,BW,03.01.00,16.57,16.57,16.08,16.26,24000,15.62
NYSE,BWA,03.01.00,40.45,40.45,38.4,38.52,337600,8.61
NYSE,BWS,03.01.00,14,14,13.63,13.82,76800,4.95
NYSE,BXG,03.01.00,4.88,5,4.25,4.75,78600,4.75
NYSE,BXP,03.01.00,31.12,31.12,30.5,30.69,59900,17.51
NYSE,BXS,03.01.00,16.44,16.44,15.81,15.88,38600,11.33
NYSE,BYD,03.01.00,5.69,5.81,5.62,5.75,80300,5.35
NYSE,BYI,03.01.00,0.86,0.9,0.84,0.86,92900,0.21
NYSE,BZH,03.01.00,19.5,19.62,19.37,19.37,17700,6.24
NYSE,CA,03.01.00,71.69,72,69.75,70,3176300,66.48
NYSE,CACI,03.01.00,22.62,22.75,22.38,22.62,37600,11.31
NYSE,CAG,03.01.00,22.5,22.94,21.94,22.87,1663700,15.39
NYSE,CAH,03.01.00,48.75,49.63,48.63,49.31,1227000,18.98
NYSE,CAL,03.01.00,44.38,46.63,44.38,45.13,640000,45.13
NYSE,CAM,03.01.00,47.75,48,44.5,44.75,2350400,11.19
NYSE,CAS,03.01.00,11.63,11.88,11.5,11.75,5000,10.01
NYSE,CASC,03.01.00,9.13,9.13,8.56,8.75,16700,7.63
NYSE,CAT,03.01.00,47.69,49,47.69,48.63,5055000,18.61
NYSE,CATO,03.01.00,12.44,12.44,11.56,11.88,77700,5.79
NYSE,CB,03.01.00,55.77,55.77,53.66,53.73,1048600,21.26
NYSE,CBB,03.01.00,36.88,37,34.94,35.94,1254600,35.79
NYSE,CBC,03.01.00,10.5,10.5,10.13,10.5,4400,8.14
NYSE,CBD,03.01.00,32.56,34,32.56,33.5,107300,28.44
NYSE,CBE,03.01.00,39.54,39.79,38.99,39.11,620200,14.77
NYSE,CBI,03.01.00,13.7,13.89,13.7,13.89,40000,3.25
NYSE,CBK,03.01.00,22,22,17.5,19,1061600,3.33
NYSE,CBL,03.01.00,20.5,20.56,20.06,20.5,66400,4.85
NYSE,CBM,03.01.00,34.25,34.25,33,33.19,35200,14.65
NYSE,CBR,03.01.00,27.5,27.5,25.5,26.62,259900,26.62
NYSE,CBT,03.01.00,20.62,20.69,19.56,19.94,130700,9.25
NYSE,CBU,03.01.00,23.19,23.19,22.94,22.94,5400,7.92
NYSE,CBY,03.01.00,23.52,25.97,23.4,25.66,100200,19.98
NYSE,CBZ,03.01.00,8.38,8.69,8.31,8.31,488100,8.31
NYSE,CCC,03.01.00,6.06,6.44,6,6.38,97700,5.7
NYSE,CCE,03.01.00,19.62,20.12,18.75,19.94,1131200,17.94
NYSE,CCI,03.01.00,31.69,32.13,30,30.53,1087500,30.53
NYSE,CCJ,03.01.00,15.38,15.38,15,15.12,32400,2.19
NYSE,CCK,03.01.00,22.13,22.62,21.88,22,493200,20.48
NYSE,CCL,03.01.00,46,47.13,45.25,46.88,1534100,39.45
NYSE,CCU,03.01.00,32.38,32.5,32.25,32.5,37600,18.76
NYSE,CCZ,03.01.00,99,99,96.75,96.75,251400,66.45
NYSE,CDE,03.01.00,3.5,3.5,3.19,3.25,7800,32.5
NYSE,CDI,03.01.00,24.06,24.5,24,24.25,6400,17.98
NYSE,CDR,03.01.00,5.75,5.75,5.75,5.75,0,11.21
NYSE,CEA,03.01.00,11.5,11.5,11.31,11.38,24600,10.75
NYSE,CEC,03.01.00,28.37,28.37,26.12,26.25,187800,17.5
NYSE,CEE,03.01.00,14.75,15.06,14.62,14.87,120400,10.55
NYSE,CEG,03.01.00,28.62,28.75,27.25,27.81,197600,20.6
